num-db,db,tx-type,count,duration-ms,tx-per-sec
25,15,strong-read,5010,61198.59,81.8646
25,15,weak-read,2505,61198.59,40.9323
25,15,write,835,61198.59,13.6441
25,16,strong-read,5034,61198.59,82.2568
25,16,weak-read,2517,61198.59,41.1284
25,16,write,839,61198.59,13.7095
25,17,strong-read,4992,61198.59,81.5705
25,17,weak-read,2496,61198.59,40.7853
25,17,write,832,61198.59,13.5951
25,18,strong-read,5076,61198.59,82.9431
25,18,weak-read,2538,61198.59,41.4715
25,18,write,846,61198.59,13.8238
25,19,strong-read,4968,61198.59,81.1783
25,19,weak-read,2484,61198.59,40.5892
25,19,write,828,61198.59,13.5297
25,20,strong-read,5052,61198.59,82.5509
25,20,weak-read,2526,61198.59,41.2755
25,20,write,842,61198.59,13.7585
25,21,strong-read,5040,61198.59,82.3548
25,21,weak-read,2520,61198.59,41.1774
25,21,write,840,61198.59,13.7258
25,22,strong-read,5064,61198.59,82.7470
25,22,weak-read,2532,61198.59,41.3735
25,22,write,844,61198.59,13.7912
25,23,strong-read,4938,61198.59,80.6881
25,23,weak-read,2469,61198.59,40.3441
25,23,write,823,61198.59,13.4480
25,24,strong-read,5034,61198.59,82.2568
25,24,weak-read,2517,61198.59,41.1284
25,24,write,839,61198.59,13.7095
30,0,strong-read,4380,61221.87,71.5431
30,0,weak-read,2190,61221.87,35.7715
30,0,write,730,61221.87,11.9238
30,1,strong-read,4290,61221.87,70.0730
30,1,weak-read,2145,61221.87,35.0365
30,1,write,715,61221.87,11.6788
30,2,strong-read,4386,61221.87,71.6411
30,2,weak-read,2193,61221.87,35.8205
30,2,write,731,61221.87,11.9402
30,3,strong-read,4368,61221.87,71.3471
30,3,weak-read,2184,61221.87,35.6735
30,3,write,728,61221.87,11.8912
30,4,strong-read,4374,61221.87,71.4451
30,4,weak-read,2187,61221.87,35.7225
30,4,write,729,61221.87,11.9075
30,5,strong-read,4374,61221.87,71.4451
30,5,weak-read,2187,61221.87,35.7225
30,5,write,729,61221.87,11.9075
30,6,strong-read,4374,61221.87,71.4451
30,6,weak-read,2187,61221.87,35.7225
30,6,write,729,61221.87,11.9075
30,7,strong-read,4500,61221.87,73.5031
30,7,weak-read,2250,61221.87,36.7516
30,7,write,750,61221.87,12.2505
30,8,strong-read,4368,61221.87,71.3471
30,8,weak-read,2184,61221.87,35.6735
30,8,write,728,61221.87,11.8912
30,9,strong-read,4344,61221.87,70.9550
30,9,weak-read,2172,61221.87,35.4775
30,9,write,724,61221.87,11.8258
30,10,strong-read,4350,61221.87,71.0530
30,10,weak-read,2175,61221.87,35.5265
30,10,write,725,61221.87,11.8422
30,11,strong-read,4386,61221.87,71.6411
30,11,weak-read,2193,61221.87,35.8205
30,11,write,731,61221.87,11.9402
30,12,strong-read,4434,61221.87,72.4251
30,12,weak-read,2217,61221.87,36.2125
30,12,write,739,61221.87,12.0708
30,13,strong-read,4398,61221.87,71.8371
30,13,weak-read,2199,61221.87,35.9185
30,13,write,733,61221.87,11.9728
30,14,strong-read,4320,61221.87,70.5630
30,14,weak-read,2160,61221.87,35.2815
30,14,write,720,61221.87,11.7605
30,15,strong-read,4410,61221.87,72.0331
30,15,weak-read,2205,61221.87,36.0165
30,15,write,735,61221.87,12.0055
30,16,strong-read,4326,61221.87,70.6610
30,16,weak-read,2163,61221.87,35.3305
30,16,write,721,61221.87,11.7768
30,17,strong-read,4404,61221.87,71.9351
30,17,weak-read,2202,61221.87,35.9675
30,17,write,734,61221.87,11.9892
30,18,strong-read,4350,61221.87,71.0530
30,18,weak-read,2175,61221.87,35.5265
30,18,write,725,61221.87,11.8422
30,19,strong-read,4356,61221.87,71.1510
30,19,weak-read,2178,61221.87,35.5755
30,19,write,726,61221.87,11.8585
30,20,strong-read,4368,61221.87,71.3471
30,20,weak-read,2184,61221.87,35.6735
30,20,write,728,61221.87,11.8912
30,21,strong-read,4368,61221.87,71.3471
30,21,weak-read,2184,61221.87,35.6735
30,21,write,728,61221.87,11.8912
30,22,strong-read,4362,61221.87,71.2490
30,22,weak-read,2181,61221.87,35.6245
30,22,write,727,61221.87,11.8748
30,23,strong-read,4362,61221.87,71.2490
30,23,weak-read,2181,61221.87,35.6245
30,23,write,727,61221.87,11.8748
30,24,strong-read,4386,61221.87,71.6411
30,24,weak-read,2193,61221.87,35.8205
30,24,write,731,61221.87,11.9402
30,25,strong-read,4338,61221.87,70.8570
30,25,weak-read,2169,61221.87,35.4285
30,25,write,723,61221.87,11.8095
30,26,strong-read,4386,61221.87,71.6411
30,26,weak-read,2193,61221.87,35.8205
30,26,write,731,61221.87,11.9402
30,27,strong-read,4278,61221.87,69.8770
30,27,weak-read,2139,61221.87,34.9385
30,27,write,713,61221.87,11.6462
30,28,strong-read,4320,61221.87,70.5630
30,28,weak-read,2160,61221.87,35.2815
30,28,write,720,61221.87,11.7605
30,29,strong-read,4338,61221.87,70.8570
30,29,weak-read,2169,61221.87,35.4285
30,29,write,723,61221.87,11.8095
35,0,strong-read,1890,61793.40,30.5858
35,0,weak-read,945,61793.40,15.2929
35,0,write,315,61793.40,5.0976
35,1,strong-read,1908,61793.40,30.8771
35,1,weak-read,954,61793.40,15.4385
35,1,write,318,61793.40,5.1462
35,2,strong-read,1866,61793.40,30.1974
35,2,weak-read,933,61793.40,15.0987
35,2,write,311,61793.40,5.0329
35,3,strong-read,1926,61793.40,31.1684
35,3,weak-read,963,61793.40,15.5842
35,3,write,321,61793.40,5.1947
35,4,strong-read,1854,61793.40,30.0032
35,4,weak-read,927,61793.40,15.0016
35,4,write,309,61793.40,5.0005
35,5,strong-read,1914,61793.40,30.9742
35,5,weak-read,957,61793.40,15.4871
35,5,write,319,61793.40,5.1624
35,6,strong-read,1908,61793.40,30.8771
35,6,weak-read,954,61793.40,15.4385
35,6,write,318,61793.40,5.1462
35,7,strong-read,1890,61793.40,30.5858
35,7,weak-read,945,61793.40,15.2929
35,7,write,315,61793.40,5.0976
35,8,strong-read,1896,61793.40,30.6829
35,8,weak-read,948,61793.40,15.3414
35,8,write,316,61793.40,5.1138
35,9,strong-read,1902,61793.40,30.7800
35,9,weak-read,951,61793.40,15.3900
35,9,write,317,61793.40,5.1300
35,10,strong-read,1926,61793.40,31.1684
35,10,weak-read,963,61793.40,15.5842
35,10,write,321,61793.40,5.1947
35,11,strong-read,1866,61793.40,30.1974
35,11,weak-read,933,61793.40,15.0987
35,11,write,311,61793.40,5.0329
35,12,strong-read,1932,61793.40,31.2655
35,12,weak-read,966,61793.40,15.6327
35,12,write,322,61793.40,5.2109
35,13,strong-read,1872,61793.40,30.2945
35,13,weak-read,936,61793.40,15.1472
35,13,write,312,61793.40,5.0491
35,14,strong-read,1914,61793.40,30.9742
35,14,weak-read,957,61793.40,15.4871
35,14,write,319,61793.40,5.1624
35,15,strong-read,1872,61793.40,30.2945
35,15,weak-read,936,61793.40,15.1472
35,15,write,312,61793.40,5.0491
35,16,strong-read,1920,61793.40,31.0713
35,16,weak-read,960,61793.40,15.5356
35,16,write,320,61793.40,5.1785
35,17,strong-read,1824,61793.40,29.5177
35,17,weak-read,912,61793.40,14.7589
35,17,write,304,61793.40,4.9196
35,18,strong-read,1908,61793.40,30.8771
35,18,weak-read,954,61793.40,15.4385
35,18,write,318,61793.40,5.1462
35,19,strong-read,1836,61793.40,29.7119
35,19,weak-read,918,61793.40,14.8560
35,19,write,306,61793.40,4.9520
35,20,strong-read,1902,61793.40,30.7800
35,20,weak-read,951,61793.40,15.3900
35,20,write,317,61793.40,5.1300
35,21,strong-read,1866,61793.40,30.1974
35,21,weak-read,933,61793.40,15.0987
35,21,write,311,61793.40,5.0329
35,22,strong-read,1878,61793.40,30.3916
35,22,weak-read,939,61793.40,15.1958
35,22,write,313,61793.40,5.0653
35,23,strong-read,1860,61793.40,30.1003
35,23,weak-read,930,61793.40,15.0502
35,23,write,310,61793.40,5.0167
35,24,strong-read,1884,61793.40,30.4887
35,24,weak-read,942,61793.40,15.2443
35,24,write,314,61793.40,5.0814
35,25,strong-read,1854,61793.40,30.0032
35,25,weak-read,927,61793.40,15.0016
35,25,write,309,61793.40,5.0005
35,26,strong-read,1896,61793.40,30.6829
35,26,weak-read,948,61793.40,15.3414
35,26,write,316,61793.40,5.1138
35,27,strong-read,1932,61793.40,31.2655
35,27,weak-read,966,61793.40,15.6327
35,27,write,322,61793.40,5.2109
35,28,strong-read,1884,61793.40,30.4887
35,28,weak-read,942,61793.40,15.2443
35,28,write,314,61793.40,5.0814
35,29,strong-read,1866,61793.40,30.1974
35,29,weak-read,933,61793.40,15.0987
35,29,write,311,61793.40,5.0329
35,30,strong-read,1854,61793.40,30.0032
35,30,weak-read,927,61793.40,15.0016
35,30,write,309,61793.40,5.0005
35,31,strong-read,1872,61793.40,30.2945
35,31,weak-read,936,61793.40,15.1472
35,31,write,312,61793.40,5.0491
35,32,strong-read,1920,61793.40,31.0713
35,32,weak-read,960,61793.40,15.5356
35,32,write,320,61793.40,5.1785
35,33,strong-read,1872,61793.40,30.2945
35,33,weak-read,936,61793.40,15.1472
35,33,write,312,61793.40,5.0491
35,34,strong-read,1980,61793.40,32.0423
35,34,weak-read,990,61793.40,16.0211
35,34,write,330,61793.40,5.3404
40,0,strong-read,1152,61656.64,18.6841
40,0,weak-read,576,61656.64,9.3421
40,0,write,192,61656.64,3.1140
40,1,strong-read,1140,61656.64,18.4895
40,1,weak-read,570,61656.64,9.2447
40,1,write,190,61656.64,3.0816
40,2,strong-read,1158,61656.64,18.7814
40,2,weak-read,579,61656.64,9.3907
40,2,write,193,61656.64,3.1302
40,3,strong-read,1158,61656.64,18.7814
40,3,weak-read,579,61656.64,9.3907
40,3,write,193,61656.64,3.1302
40,4,strong-read,1158,61656.64,18.7814
40,4,weak-read,579,61656.64,9.3907
40,4,write,193,61656.64,3.1302
40,5,strong-read,1182,61656.64,19.1707
40,5,weak-read,591,61656.64,9.5853
40,5,write,197,61656.64,3.1951
40,6,strong-read,1122,61656.64,18.1976
40,6,weak-read,561,61656.64,9.0988
40,6,write,187,61656.64,3.0329
40,7,strong-read,1140,61656.64,18.4895
40,7,weak-read,570,61656.64,9.2447
40,7,write,190,61656.64,3.0816
40,8,strong-read,1152,61656.64,18.6841
40,8,weak-read,576,61656.64,9.3421
40,8,write,192,61656.64,3.1140
40,9,strong-read,1116,61656.64,18.1002
40,9,weak-read,558,61656.64,9.0501
40,9,write,186,61656.64,3.0167
40,10,strong-read,1152,61656.64,18.6841
40,10,weak-read,576,61656.64,9.3421
40,10,write,192,61656.64,3.1140
40,11,strong-read,1170,61656.65,18.9761
40,11,weak-read,585,61656.65,9.4880
40,11,write,195,61656.65,3.1627
40,12,strong-read,1164,61656.65,18.8787
40,12,weak-read,582,61656.65,9.4394
40,12,write,194,61656.65,3.1465
40,13,strong-read,1158,61656.65,18.7814
40,13,weak-read,579,61656.65,9.3907
40,13,write,193,61656.65,3.1302
40,14,strong-read,1188,61656.65,19.2680
40,14,weak-read,594,61656.65,9.6340
40,14,write,198,61656.65,3.2113
40,15,strong-read,1134,61656.65,18.3922
40,15,weak-read,567,61656.65,9.1961
40,15,write,189,61656.65,3.0654
40,16,strong-read,1134,61656.65,18.3922
40,16,weak-read,567,61656.65,9.1961
40,16,write,189,61656.65,3.0654
40,17,strong-read,1146,61656.65,18.5868
40,17,weak-read,573,61656.65,9.2934
40,17,write,191,61656.65,3.0978
40,18,strong-read,1146,61656.65,18.5868
40,18,weak-read,573,61656.65,9.2934
40,18,write,191,61656.65,3.0978
40,19,strong-read,1170,61656.65,18.9761
40,19,weak-read,585,61656.65,9.4880
40,19,write,195,61656.65,3.1627
40,20,strong-read,1140,61656.65,18.4895
40,20,weak-read,570,61656.65,9.2447
40,20,write,190,61656.65,3.0816
40,21,strong-read,1164,61656.65,18.8787
40,21,weak-read,582,61656.65,9.4394
40,21,write,194,61656.65,3.1465
40,22,strong-read,1194,61656.65,19.3653
40,22,weak-read,597,61656.65,9.6827
40,22,write,199,61656.65,3.2276
40,23,strong-read,1176,61656.65,19.0734
40,23,weak-read,588,61656.65,9.5367
40,23,write,196,61656.65,3.1789
40,24,strong-read,1158,61656.65,18.7814
40,24,weak-read,579,61656.65,9.3907
40,24,write,193,61656.65,3.1302
40,25,strong-read,1176,61656.65,19.0734
40,25,weak-read,588,61656.65,9.5367
40,25,write,196,61656.65,3.1789
40,26,strong-read,1134,61656.65,18.3922
40,26,weak-read,567,61656.65,9.1961
40,26,write,189,61656.65,3.0654
40,27,strong-read,1122,61656.65,18.1976
40,27,weak-read,561,61656.65,9.0988
40,27,write,187,61656.65,3.0329
40,28,strong-read,1152,61656.65,18.6841
40,28,weak-read,576,61656.65,9.3421
40,28,write,192,61656.65,3.1140
40,29,strong-read,1164,61656.65,18.8787
40,29,weak-read,582,61656.65,9.4394
40,29,write,194,61656.65,3.1465
40,30,strong-read,1146,61656.65,18.5868
40,30,weak-read,573,61656.65,9.2934
40,30,write,191,61656.65,3.0978
40,31,strong-read,1164,61656.65,18.8787
40,31,weak-read,582,61656.65,9.4394
40,31,write,194,61656.65,3.1465
40,32,strong-read,1152,61656.65,18.6841
40,32,weak-read,576,61656.65,9.3421
40,32,write,192,61656.65,3.1140
40,33,strong-read,1152,61656.65,18.6841
40,33,weak-read,576,61656.65,9.3421
40,33,write,192,61656.65,3.1140
40,34,strong-read,1164,61656.65,18.8787
40,34,weak-read,582,61656.65,9.4394
40,34,write,194,61656.65,3.1465
40,35,strong-read,1170,61656.65,18.9761
40,35,weak-read,585,61656.65,9.4880
40,35,write,195,61656.65,3.1627
40,36,strong-read,1164,61656.65,18.8787
40,36,weak-read,582,61656.65,9.4394
40,36,write,194,61656.65,3.1465
40,37,strong-read,1182,61656.65,19.1707
40,37,weak-read,591,61656.65,9.5853
40,37,write,197,61656.65,3.1951
40,38,strong-read,1140,61656.65,18.4895
40,38,weak-read,570,61656.65,9.2447
40,38,write,190,61656.65,3.0816
40,39,strong-read,1140,61656.65,18.4895
40,39,weak-read,570,61656.65,9.2447
40,39,write,190,61656.65,3.0816
45,0,strong-read,1674,61285.82,27.3146
45,0,weak-read,837,61285.82,13.6573
45,0,write,279,61285.82,4.5524
45,1,strong-read,1680,61285.82,27.4125
